question_id,certificate,wing,subject_code,subject_name,module_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,source,active
Q-NCC_GEN-0013,ABC,ALL,NCC_GEN,NCC General,1,Lady ANO Training Academy is at:,Gwalior,Dehradun,Kamptee,Agra,A,Gwalior.,1,OMR_2024,TRUE
Q-NCC_GEN-0014,ABC,ALL,NCC_GEN,NCC General,1,EBSB camp is classified as:,Special Camp,Personality Development Camp,Adventure Camp,Centrally Organized Camp,D,Centrally Organized Camp.,3,OMR_2024,TRUE
Q-NCC_GEN-0015,ABC,ALL,NCC_GEN,NCC General,1,Lotuses on NCC Crest represent:,NCC Directorates,Types of NCC Units,NCC Groups,National flower,A,Each lotus = one NCC Directorate.,2,OMR_2024,TRUE
Q-NCC_GEN-0016,ABC,ALL,NCC_GEN,NCC General,1,CTO stands for:,Cadets Training Officer,Camp Training Officer,Care Taking Officer,Coordination and Training Officer,C,CTO = Care Taking Officer.,1,QB13,TRUE
Q-NCC_GEN-0017,ABC,ALL,NCC_GEN,NCC General,1,WTLO stands for:,Whole Time Lady Officer,Weapon Training Lady Officer,Whole Time Logistics Officer,Weapon Trg Logistics Officer,A,WTLO = Whole Time Lady Officer.,1,QB13,TRUE
Q-NCC_GEN-0018,ABC,ALL,NCC_GEN,NCC General,1,ANO stands for:,Allied NCC Officer,Associate NCC Officer,Associated NCC Officer,Administrative NCC Officer,B,ANO = Associate NCC Officer.,2,QB13,TRUE
Q-NCC_GEN-0019,ABC,ALL,NCC_GEN,NCC General,1,DG NCC is assisted by ___ Deputy DGs.,Five,Six,Four,Seven,A,5 Deputy DGs assist DG NCC.,1,QB13,TRUE
Q-NCC_GEN-0020,ABC,ALL,NCC_GEN,NCC General,1,Rock Climbing Training Camp is at ___ level.,Unit,Directorate,Group,DG NCC,D,DG NCC level.,1,QB13,TRUE
Q-NCC_GEN-0021,ABC,ALL,NCC_GEN,NCC General,1,Seats reserved for C Certificate holders in IAF through SSB:,10%,15%,12%,8%,A,10% seats in IAF.,3,QB13,TRUE
Q-NCC_GEN-0022,ABC,ALL,NCC_GEN,NCC General,1,Seats reserved at OTA Chennai for NCC Special Entry per year:,100,50,64,75,A,100 seats per year.,1,QB13,TRUE
Q-NCC_GEN-0023,ABC,ALL,NCC_GEN,NCC General,1,Senior most JD ANO rank:,First Officer,Second Officer,Chief Officer,Third Officer,C,Chief Officer.,1,NEW,TRUE
Q-NCC_GEN-0024,ABC,ALL,NCC_GEN,NCC General,1,Senior most SD ANO rank:,Captain,Lieutenant,Major,Colonel,C,Major.,2,NEW,TRUE
Q-NCC_GEN-0025,ABC,ALL,NCC_GEN,NCC General,1,Grade A in NCC exam requires:,65%+,70%+,80%+,50%+,C,Grade A = 80% and above.,1,NEW,TRUE
Q-NCC_GEN-0026,ABC,ALL,NCC_GEN,NCC General,1,Minimum marks in each paper to pass NCC exam:,50%,45%,55%,40%,B,45% in each paper.,1,NEW,TRUE
Q-NCC_GEN-0027,ABC,ALL,NCC_GEN,NCC General,1,NCC Welfare funds provide financial assistance during:,Illness,Training injuries,Studies,Travel,B,Financial assistance for training injuries.,2,NEW,TRUE
Q-NCC_GEN-0028,ABC,ALL,NCC_GEN,NCC General,1,Which wing is NOT part of NCC?,Army,Navy,Air Force,Marine,D,No Marine wing in NCC.,3,NEW,TRUE
Q-NCC_GEN-0029,ABC,ALL,NCC_GEN,NCC General,1,NCC crest has ___ lotuses.,13,17,5,7,B,17 lotuses = 17 Directorates.,1,NEW,TRUE
Q-NCC_GEN-0030,ABC,ALL,NCC_GEN,NCC General,1,HQ DG NCC is assisted by ___ Additional DGs.,Five,Two,Six,Three,B,2 Additional DGs.,2,NEW,TRUE
Q-NAT_INT-0031,ABC,ALL,NAT_INT,National Integration & Awareness,2,Most sacred scripture of Sikhism:,Japji Sahib,Nishan Sahib,Guru Granth Sahib,Ek Onkar Satnam,C,Guru Granth Sahib.,1,OMR_2024,TRUE
Q-NAT_INT-0032,ABC,ALL,NAT_INT,National Integration & Awareness,2,Folk dance of Gujarat:,Bhangra,Bihu,Bharat Natyam,Garba,D,Garba.,1,OMR_2024,TRUE
Q-NAT_INT-0033,ABC,ALL,NAT_INT,National Integration & Awareness,2,Lavani is folk dance of:,West Bengal,Haryana,Maharashtra,Ladakh,C,Maharashtra.,2,OMR_2024,TRUE
Q-NAT_INT-0034,ABC,ALL,NAT_INT,National Integration & Awareness,2,Traditional dance of Andhra Pradesh:,Bharatanatyam,Raas Leela,Kuchipudi,Kathkali,C,Kuchipudi.,1,OMR_2024,TRUE
Q-NAT_INT-0035,ABC,ALL,NAT_INT,National Integration & Awareness,2,Quit India Movement started in:,1939,1942,1921,1947,B,8 August 1942.,1,OMR_2024,TRUE
Q-NAT_INT-0036,ABC,ALL,NAT_INT,National Integration & Awareness,2,National Animal of India:,Elephant,Cheetah,Lion,Tiger,D,Tiger.,2,OMR_2024,TRUE
Q-NAT_INT-0037,ABC,ALL,NAT_INT,National Integration & Awareness,2,National Bird of India:,Swan,Peacock,Eagle,Parrot,B,Peacock.,3,OMR_2024,TRUE
Q-NAT_INT-0038,ABC,ALL,NAT_INT,National Integration & Awareness,2,First President of India:,Jawaharlal Nehru,Dr Zakir Hussain,Dr Rajendra Prasad,Sardar Patel,C,Dr Rajendra Prasad.,1,OMR_2024,TRUE
Q-NAT_INT-0039,ABC,ALL,NAT_INT,National Integration & Awareness,2,Victoria Memorial is in:,Mumbai,Kolkata,Chennai,Bengaluru,B,Kolkata.,2,OMR_2024,TRUE
Q-NAT_INT-0040,ABC,ALL,NAT_INT,National Integration & Awareness,2,Kalarippayattu martial art belongs to:,Andhra Pradesh,Tamil Nadu,Kerala,Telangana,C,Kerala.,1,OMR_2024,TRUE
Q-NAT_INT-0041,ABC,ALL,NAT_INT,National Integration & Awareness,2,'Iron Man' of India:,Bhagat Singh,Lala Lajpat Rai,Mahatma Gandhi,Sardar Vallabh Bhai Patel,D,Sardar Patel.,1,OMR_2024,TRUE
Q-NAT_INT-0042,ABC,ALL,NAT_INT,National Integration & Awareness,2,National Anthem composed by:,Ustad Allah Rakha,Vinobha Bhave,Rabindranath Tagore,Bankim Chandra Chatterjee,C,Rabindranath Tagore.,2,OMR_2024,TRUE
Q-NAT_INT-0043,ABC,ALL,NAT_INT,National Integration & Awareness,2,Cellular Jail is at:,Ahmedabad,Old Delhi,Chennai,Port Blair,D,Port Blair.,1,OMR_2024,TRUE
Q-NAT_INT-0044,ABC,ALL,NAT_INT,National Integration & Awareness,2,Lohri is celebrated in:,Haryana,Himachal Pradesh,Punjab,Ladakh,C,Punjab.,3,OMR_2024,TRUE
Q-NAT_INT-0045,ABC,ALL,NAT_INT,National Integration & Awareness,2,Bihu is harvest festival of:,West Bengal,Assam,Manipur,Nagaland,B,Assam.,2,OMR_2024,TRUE
Q-NAT_INT-0046,ABC,ALL,NAT_INT,National Integration & Awareness,2,INC established on:,28 Dec 1885,22 Oct 1857,26 Jan 1899,15 Aug 1899,A,28 December 1885.,1,QB13,TRUE
Q-NAT_INT-0047,ABC,ALL,NAT_INT,National Integration & Awareness,2,Lion Capital of Ashoka is at:,Sarnath,Gaya,Delhi,Bodh Gaya,A,Sarnath.,1,QB13,TRUE
Q-NAT_INT-0048,ABC,ALL,NAT_INT,National Integration & Awareness,2,First War of Independence was in:,1857,1885,1839,1891,A,1857 Sepoy Mutiny.,2,QB13,TRUE
Q-NAT_INT-0049,ABC,ALL,NAT_INT,National Integration & Awareness,2,National Game of India:,Football,Hockey,Cricket,Wrestling,B,Hockey.,1,QB13,TRUE
Q-NAT_INT-0050,ABC,ALL,NAT_INT,National Integration & Awareness,2,Brahmaputra flows through:,Nagaland,Assam,West Bengal,Sikkim,B,Assam.,1,QB13,TRUE
Q-NAT_INT-0051,ABC,ALL,NAT_INT,National Integration & Awareness,2,Lal Bahadur Shastri was ___ PM of India.,First,Third,Second,Fourth,C,2nd PM.,3,QB13,TRUE
Q-NAT_INT-0052,ABC,ALL,NAT_INT,National Integration & Awareness,2,Capital of Bhutan:,Kathmandu,Nay-pi-taw,Gangtok,Thimphu,D,Thimphu.,1,QB13,TRUE
Q-NAT_INT-0053,ABC,ALL,NAT_INT,National Integration & Awareness,2,Dandi March ended on:,11 Jun 1930,07 Aug 1930,06 Apr 1930,12 Jan 1931,C,6 April 1930.,1,NEW,TRUE
Q-NAT_INT-0054,ABC,ALL,NAT_INT,National Integration & Awareness,2,Bhagat Singh was born on:,23 Mar 1907,27 Oct 1857,27 Sep 1907,23 Mar 1908,C,27 September 1907.,2,NEW,TRUE
Q-NAT_INT-0055,ABC,ALL,NAT_INT,National Integration & Awareness,2,Mahabharat authored by:,Sage Valmiki,Sage Vishwaamitra,Sage Veda Vyas,Sage Angeerasa,C,Sage Veda Vyas.,1,NEW,TRUE
Q-NAT_INT-0056,ABC,ALL,NAT_INT,National Integration & Awareness,2,Sikhism founded by:,Guru Gobind Singh,Guru Nanak Dev ji,Guru Tegh Bahadur,Guru Angad Dev ji,B,Guru Nanak Dev ji.,1,NEW,TRUE
Q-NAT_INT-0057,ABC,ALL,NAT_INT,National Integration & Awareness,2,Indus Valley Civilization is one of the oldest.,Ganga-Jamuna Tehzeeb,Dravidian Civilization,Indus Valley Civilization,Aryan Civilization,C,Indus Valley Civilization.,2,NEW,TRUE
Q-NAT_INT-0058,ABC,ALL,NAT_INT,National Integration & Awareness,2,Raghunath Mandir is in:,Ayodhya,Jammu,Puri,Bengaluru,B,Jammu.,3,NEW,TRUE
Q-NAT_INT-0059,ABC,ALL,NAT_INT,National Integration & Awareness,2,Bharat Natyam is the dance of:,Gujarat,Punjab,Tamil Nadu,Rajasthan,C,Tamil Nadu.,1,NEW,TRUE
Q-NAT_INT-0060,ABC,ALL,NAT_INT,National Integration & Awareness,2,National motto of India is:,Jai Hind,Satyameva Jayate,Jai Jawan Jai Kisan,Vande Mataram,B,Satyameva Jayate.,2,NEW,TRUE
Q-DRILL-0061,ABC,ALL,DRILL,Drill,3,"In Saavdhan, shoulders are ___ to the ground.",At 45 deg,Perpendicular,Parallel,At 30 deg,C,Shoulders parallel to ground.,1,OMR_2024,TRUE
Q-DRILL-0062,ABC,ALL,DRILL,Drill,3,Samne Salute right elbow angle is ___ degrees.,30,60,45,75,C,45 degrees.,1,OMR_2024,TRUE
Q-DRILL-0063,ABC,ALL,DRILL,Drill,3,"In Tez Chal, step length is ___ inches.",45,60,30,75,C,30 inches.,2,OMR_2024,TRUE
Q-DRILL-0064,ABC,ALL,DRILL,Drill,3,"In Vishram, distance between heels is ___ inches.",10,12,16,18,B,12 inches.,1,OMR_2024,TRUE
Q-DRILL-0065,ABC,ALL,DRILL,Drill,3,"In Savdhaan, angle at ankles is ___ degrees.",15,45,30,60,C,30 degrees.,1,OMR_2024,TRUE
Q-DRILL-0066,ABC,ALL,DRILL,Drill,3,Word of Command always given in ___ position.,Vishram,Front,Saavdhan,Jaanch,C,Saavdhan position.,2,OMR_2024,TRUE
Q-DRILL-0067,ABC,ALL,DRILL,Drill,3,Slow March paces per minute:,60,90,120,70,D,70 paces/min.,3,OMR_2024,TRUE
Q-DRILL-0068,ABC,ALL,DRILL,Drill,3,Rashtriya Salute is given to:,Prime Minister,Defence Minister,President,All of these,C,President.,1,OMR_2024,TRUE
Q-DRILL-0069,ABC,ALL,DRILL,Drill,3,Word of command for final dispersal:,Aaram Se,Kadam Tal,Visarjan,Line Tod,C,Visarjan.,2,OMR_2024,TRUE
Q-DRILL-0070,ABC,ALL,DRILL,Drill,3,A line of men standing one behind other is:,Lane,Rank,File,Drill,C,File.,1,OMR_2024,TRUE
Q-DRILL-0071,ABC,ALL,DRILL,Drill,3,Types of salutes in Foot Drill:,Two,Three,Five,Four,B,Three types.,1,OMR_2024,TRUE
Q-DRILL-0072,ABC,ALL,DRILL,Drill,3,In Salami Shastra rifle butt is ___ inches in front.,Six,Twelve,Nine,Any,B,12 inches.,2,OMR_2024,TRUE
Q-DRILL-0073,ABC,ALL,DRILL,Drill,3,In Salami Shastra barrel is ___ inches from nose.,Three,Nine,Six,Twelve,C,6 inches.,1,OMR_2024,TRUE
Q-DRILL-0074,ABC,ALL,DRILL,Drill,3,Samne Salute finger touches:,Right tip of right eye,Nose bridge,Centre of Eye,Centre of Right eyebrow,D,Centre of right eyebrow.,3,OMR_2024,TRUE
Q-DRILL-0075,ABC,ALL,DRILL,Drill,3,For inspection squad is in ___ position.,Nikat Line,Jaanch Line,Khuli Line,Aaram Se,C,Khuli Line Chal.,2,OMR_2024,TRUE
Q-DRILL-0076,ABC,ALL,DRILL,Drill,3,Piche Mud equals:,Two Dahine Muds,Two Bae Muds,Both of these,None,C,Two consecutive turns in either direction.,1,QB13,TRUE
Q-DRILL-0077,ABC,ALL,DRILL,Drill,3,During Drill you should NOT:,Click heels,Drag feet,Both,None,B,Never drag feet.,1,QB13,TRUE
Q-DRILL-0078,ABC,ALL,DRILL,Drill,3,Drill introduced by Major General Dral of ___ in 1666.,Britain,Spain,Germany,America,C,Germany.,2,QB13,TRUE
Q-DRILL-0079,ABC,ALL,DRILL,Drill,3,Guard of Honour for President has ___ rank and file.,120,100,150,104,C,150.,1,QB13,TRUE
Q-DRILL-0080,ABC,ALL,DRILL,Drill,3,In Bagal Shastr right palm is on ___ of rifle.,Trigger,Butt,Pistol Grip,Small of Butt,C,Pistol Grip.,1,QB13,TRUE
Q-DRILL-0081,ABC,ALL,DRILL,Drill,3,General Salute for dignitaries of ___ rank and above.,Brigadier,Major General,Colonel,Lt General,B,Major General and above.,3,QB13,TRUE
Q-DRILL-0082,ABC,ALL,DRILL,Drill,3,Normal march speed is ___ paces per minute.,90,100,120,110,C,120 paces/min.,1,QB13,TRUE
Q-DRILL-0083,ABC,ALL,DRILL,Drill,3,In Khuli Line Chal cadet's final position is ___ inches ahead.,30,60,90,45,D,45 inches ahead.,1,NEW,TRUE
Q-DRILL-0084,ABC,ALL,DRILL,Drill,3,Rashtriya Salute is also given to ___.,Governor,Defence Minister,Chief Minister,All of these,A,Governors of states.,2,NEW,TRUE
Q-DRILL-0085,ABC,ALL,DRILL,Drill,3,In Saavdhan hands should be in line with ___.,Ground,Shoulders,Waist,Stitching of pants,D,Stitching of pants.,1,NEW,TRUE
Q-DRILL-0086,ABC,ALL,DRILL,Drill,3,Snap in WoC demands ___.,Loudness,Timing,Instantaneous response,Distinctness,C,Instantaneous response.,1,NEW,TRUE
Q-DRILL-0087,ABC,ALL,DRILL,Drill,3,Word of Command parts are Cautionary and ___.,Loud and Clear,Executive,Pitch,Distinctness,B,Executive.,2,NEW,TRUE
Q-DRILL-0088,ABC,ALL,DRILL,Drill,3,Clarity of WoC by coordination of:,Tongue and Lips,Teeth and Lips,Tongue Teeth and Lips,Loudness and Pitch,C,"Tongue, teeth and lips.",3,NEW,TRUE
Q-DRILL-0089,ABC,ALL,DRILL,Drill,3,In Vishraam weight of body on:,Right Leg,Both legs,Slightly forward,Slightly behind,B,Both legs.,1,NEW,TRUE
Q-DRILL-0090,ABC,ALL,DRILL,Drill,3,After four consecutive Dahine Muds you face:,Left,Right,Back,Same direction,D,Same direction (360 degrees).,2,NEW,TRUE
Q-WPN_TRG-0091,ABC,ALL,WPN_TRG,Weapon Training,4,Length of 0.22 mm rifle is ___ inches.,35,45,50,30,B,45 inches.,1,OMR_2024,TRUE
Q-WPN_TRG-0092,ABC,ALL,WPN_TRG,Weapon Training,4,Max range of 0.22 Rifle is ___ yards.,1500,1700,2000,2200,B,1700 yards.,1,OMR_2024,TRUE
Q-WPN_TRG-0093,ABC,ALL,WPN_TRG,Weapon Training,4,Rifle is loaded when round is in:,Magazine,Barrel,Chamber,Cartridge,C,Chamber.,2,OMR_2024,TRUE
Q-WPN_TRG-0094,ABC,ALL,WPN_TRG,Weapon Training,4,Muzzle velocity of .22 Rifle is ___ fps.,2500,3000,2700,3200,C,2700 fps.,1,OMR_2024,TRUE
Q-WPN_TRG-0095,ABC,ALL,WPN_TRG,Weapon Training,4,Normal ROF of .22 Rifle is ___ rounds/min.,Ten,Six,Five,Twelve,C,5 rpm.,1,OMR_2024,TRUE
Q-WPN_TRG-0096,ABC,ALL,WPN_TRG,Weapon Training,4,Innermost circle of target is called:,Magpie,Inner,Bull,Black Circle,C,Bull.,2,OMR_2024,TRUE
Q-WPN_TRG-0097,ABC,ALL,WPN_TRG,Weapon Training,4,Caliber of weapon = ___ of barrel.,Weight,Length,Inner diameter,Circumference,C,Inner diameter.,3,OMR_2024,TRUE
Q-WPN_TRG-0098,ABC,ALL,WPN_TRG,Weapon Training,4,Imaginary line eye-to-target through sight:,Aiming Line,Line of Target,Line of Sight,Firing Line,C,Line of Sight.,1,OMR_2024,TRUE
Q-WPN_TRG-0099,ABC,ALL,WPN_TRG,Weapon Training,4,Target used for grouping and zeroing:,Fig 11,1x1 target,4x4 target,Fig 12,B,1' x 1' target.,2,OMR_2024,TRUE
Q-WPN_TRG-0100,ABC,ALL,WPN_TRG,Weapon Training,4,Flags used to show range is live are ___ colour.,Green,Yellow,Red,White,C,Red flags.,1,OMR_2024,TRUE
Q-WPN_TRG-0101,ABC,ALL,WPN_TRG,Weapon Training,4,Caliber of a round indicates its:,Cross-section,Radius,Circumference,Diameter,D,Diameter of the round.,1,OMR_2024,TRUE
Q-WPN_TRG-0102,ABC,ALL,WPN_TRG,Weapon Training,4,Parabolic path of bullet during flight:,Telemetry,Trajectory,Flight Path,Track,B,Trajectory.,2,OMR_2024,TRUE
Q-WPN_TRG-0103,ABC,ALL,WPN_TRG,Weapon Training,4,Central point of 5 shots in grouping fire:,Max Point of Impact,Min Point of Impact,Main Point of Impact,Mean Point of Impact,D,MPI = Mean Point of Impact.,1,OMR_2024,TRUE
Q-WPN_TRG-0104,ABC,ALL,WPN_TRG,Weapon Training,4,Elevation given to counter ___ during bullet flight.,Thrust,Range,Spin,Gravity,D,Gravity.,3,OMR_2024,TRUE
Q-WPN_TRG-0105,ABC,ALL,WPN_TRG,Weapon Training,4,Extractor extracts:,Magazine,Bullet,Empty Case,Round,C,Empty case.,2,OMR_2024,TRUE
Q-WPN_TRG-0106,ABC,ALL,WPN_TRG,Weapon Training,4,Waiting Details in Firing Group:,Four,Three,NIL,Two,D,Two.,1,QB13,TRUE
Q-WPN_TRG-0107,ABC,ALL,WPN_TRG,Weapon Training,4,Safety Catch positions on .22 rifle:,One,Two,Three,Four,B,Two positions.,1,QB13,TRUE
Q-WPN_TRG-0108,ABC,ALL,WPN_TRG,Weapon Training,4,Zeroing = rectification of all ___ in rifle.,Damage,Grouping,Defects,Wear,C,All defects.,2,QB13,TRUE
Q-WPN_TRG-0109,ABC,ALL,WPN_TRG,Weapon Training,4,Grooves in barrel of .22 Rifle:,4,5,6,8,C,6 grooves.,1,QB13,TRUE
Q-WPN_TRG-0110,ABC,ALL,WPN_TRG,Weapon Training,4,Basic principle of firing: one bullet one ___.,Shot,Enemy,Target,Round,B,Ek goli ek dushman.,1,QB13,TRUE
Q-WPN_TRG-0111,ABC,ALL,WPN_TRG,Weapon Training,4,Rapid ROF of .22 Rifle is ___ rpm.,5,10-15,20,25,B,10-15 rpm.,3,QB13,TRUE
Q-WPN_TRG-0112,ABC,ALL,WPN_TRG,Weapon Training,4,Hold of rifle: hand guard rests between thumb and ___.,Palm,Ring Finger,Index Finger,Middle Finger,C,Index finger.,1,QB13,TRUE
Q-WPN_TRG-0113,ABC,ALL,WPN_TRG,Weapon Training,4,During trigger press ensure ___ does not move.,Safety Catch,Barrel,Trigger Guard,Target,B,Barrel.,1,NEW,TRUE
Q-WPN_TRG-0114,ABC,ALL,WPN_TRG,Weapon Training,4,"While firing, accuracy is more important than ___.",Aiming,Score,Speed,Discipline,C,Speed.,2,NEW,TRUE
Q-WPN_TRG-0115,ABC,ALL,WPN_TRG,Weapon Training,4,"In 22 rifle, foresight NOT a part:",Foresight,Trigger Guard,Backsight,Foresight Aimer,D,Foresight Aimer is not a part.,1,NEW,TRUE
Q-PERS_DEV-0116,ABC,ALL,PERS_DEV,Personality Development,5,OIR stands for Officer ___ Rating.,Initiative,Intuitive,Intelligence,Innovative,C,Intelligence.,1,OMR_2024,TRUE
Q-PERS_DEV-0117,ABC,ALL,PERS_DEV,Personality Development,5,"In Lecturette at SSB, candidate gets ___ topics.",Two,Three,Four,Five,C,Four topics.,1,OMR_2024,TRUE
Q-PERS_DEV-0118,ABC,ALL,PERS_DEV,Personality Development,5,"In WAT at SSB, ___ words shown for 15s each.",30,50,60,100,C,60 words.,2,OMR_2024,TRUE
Q-PERS_DEV-0119,ABC,ALL,PERS_DEV,Personality Development,5,"Three communication styles: Aggressive, Passive, and:",Verbal,Non-Verbal,Active,Assertive,D,Assertive.,1,OMR_2024,TRUE
Q-PERS_DEV-0120,ABC,ALL,PERS_DEV,Personality Development,5,Empathy is the ability to:,Think logically,Imagine another's perspective,Make decisions,Analyse,B,Imagine another's perspective.,1,OMR_2024,TRUE
Q-PERS_DEV-0121,ABC,ALL,PERS_DEV,Personality Development,5,In PPDT picture shown for ___ seconds.,45,30,10,15,B,30 seconds.,2,OMR_2024,TRUE
Q-PERS_DEV-0122,ABC,ALL,PERS_DEV,Personality Development,5,Creativity = ability to ___ something new.,Copy,Refine,Imagine or invent,Evaluate,C,Imagine or invent.,3,OMR_2024,TRUE
Q-PERS_DEV-0123,ABC,ALL,PERS_DEV,Personality Development,5,Exchange of ideas between persons is:,Discussion,Transmission,Public Speaking,Communication,D,Communication.,1,OMR_2024,TRUE
Q-PERS_DEV-0124,ABC,ALL,PERS_DEV,Personality Development,5,Components of Effective Communication:,Two,Three,Four,Five,B,Three.,2,OMR_2024,TRUE
Q-PERS_DEV-0125,ABC,ALL,PERS_DEV,Personality Development,5,Types of Communication:,Six,Four,Three,Five,C,Three.,1,OMR_2024,TRUE
Q-PERS_DEV-0126,ABC,ALL,PERS_DEV,Personality Development,5,NOT a type of etiquette:,Social Etiquette,Corporate Etiquette,Family Etiquette,Bathroom Etiquette,C,Family Etiquette.,1,OMR_2024,TRUE
Q-PERS_DEV-0127,ABC,ALL,PERS_DEV,Personality Development,5,20% of time produces ___ of output.,40%,60%,70%,80%,D,80% (Pareto principle).,2,OMR_2024,TRUE
Q-PERS_DEV-0128,ABC,ALL,PERS_DEV,Personality Development,5,Critical thinking = determining authenticity = ___.,Intelligence,Creativity,Evaluation,Critical Thinking,D,Critical Thinking.,1,OMR_2024,TRUE
Q-PERS_DEV-0129,ABC,ALL,PERS_DEV,Personality Development,5,Skills acquired through practice and:,Enhancement,Calmness,Struggle,Patience,D,Patience.,3,OMR_2024,TRUE
Q-PERS_DEV-0130,ABC,ALL,PERS_DEV,Personality Development,5,Passive communicators lack ___ expression.,Body,Enthusiastic,Facial,Confident,C,Facial expression.,2,OMR_2024,TRUE
Q-PERS_DEV-0131,ABC,ALL,PERS_DEV,Personality Development,5,In Individual Obstacle Task at SSB max points:,55,65,Not Specified,74,C,Not Specified.,1,QB13,TRUE
Q-PERS_DEV-0132,ABC,ALL,PERS_DEV,Personality Development,5,PGT = Progressive ___ Task.,Group,Graded,General,Ground,A,Progressive Group Task.,1,QB13,TRUE
Q-PERS_DEV-0133,ABC,ALL,PERS_DEV,Personality Development,5,Problems are often ___ in disguise.,Disgusting,Opportunities,Difficulties,Blessings,B,Opportunities.,2,QB13,TRUE
Q-PERS_DEV-0134,ABC,ALL,PERS_DEV,Personality Development,5,Self-Awareness needed for ___ attitude.,Great,Healthy,Appropriate,Positive,D,Positive.,1,QB13,TRUE
Q-PERS_DEV-0135,ABC,ALL,PERS_DEV,Personality Development,5,Aggressive communicators are ___ listeners.,Great,Active,Passive,Poor,D,Poor listeners.,1,QB13,TRUE
Q-PERS_DEV-0136,ABC,ALL,PERS_DEV,Personality Development,5,Your ___ determines how you receive information.,Knowledge,Compatibility,Mindset,Ability,C,Mindset.,3,QB13,TRUE
Q-PERS_DEV-0137,ABC,ALL,PERS_DEV,Personality Development,5,Unhealthy stress best coped by recognising when stress is ___.,Stable,Disturbing,Building,Reducing,C,Building.,1,QB13,TRUE
Q-PERS_DEV-0138,ABC,ALL,PERS_DEV,Personality Development,5,Communication Gap reduced by not being ___.,Judgemental,Loud,Reserved,Formal,A,Judgemental.,1,NEW,TRUE
Q-PERS_DEV-0139,ABC,ALL,PERS_DEV,Personality Development,5,Stress is ___ in nature.,Secret,Disruptive,Confusing,Universal,D,Universal.,2,NEW,TRUE
Q-PERS_DEV-0140,ABC,ALL,PERS_DEV,Personality Development,5,Life Skills include all EXCEPT:,Decision Making,Self Awareness,Education,Critical Thinking,C,Education is not a Life Skill.,1,NEW,TRUE
Q-PERS_DEV-0141,ABC,ALL,PERS_DEV,Personality Development,5,Assertive communicators are ___ listeners.,Poor,Passive,Active,Aggressive,C,Active listeners.,1,NEW,TRUE
Q-PERS_DEV-0142,ABC,ALL,PERS_DEV,Personality Development,5,Time Management is a set of ___ tools and systems.,Skills,Methods,Techniques,Rules,A,"Skills, tools and systems.",2,NEW,TRUE
